Age,Gender,Marital Status,Location,Income,Employment Status,Credit History,Credit Score,Previous Card Usage,Spending Habits,Previous Offer Response,Card Type,Card Interest Rate,Annual Fee,Customer Engagement,Communication Preferences,Target Response
21,Male,Single,Rural,38858,Self-Employed,Fair,603,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,21456,Unemployed,Fair,443,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,22483,Unemployed,Fair,477,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,23271,Unemployed,Fair,458,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,23824,Unemployed,Fair,533,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,24566,Unemployed,Fair,391,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,24714,Unemployed,Fair,501,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,25996,Unemployed,Fair,428,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,27888,Unemployed,Fair,475,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,27920,Unemployed,Fair,490,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,28023,Unemployed,Fair,341,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,28327,Unemployed,Fair,484,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,28368,Unemployed,Fair,476,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,28518,Unemployed,Fair,358,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,29218,Unemployed,Fair,490,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,29262,Unemployed,Fair,375,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,31967,Self-Employed,Fair,451,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,33090,Self-Employed,Fair,560,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,35092,Self-Employed,Fair,602,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,36447,Self-Employed,Fair,574,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,36907,Self-Employed,Fair,639,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,37166,Self-Employed,Fair,649,Low,Low,No,Visa,20%,100,Low,Email,No
22,Male,Single,Rural,38232,Self-Employed,Fair,556,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,21457,Unemployed,Fair,365,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,21568,Unemployed,Fair,346,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,21616,Unemployed,Fair,333,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,21683,Unemployed,Fair,342,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,22123,Unemployed,Fair,535,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,23627,Unemployed,Fair,502,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,24962,Unemployed,Fair,500,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,25646,Unemployed,Fair,348,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,26306,Unemployed,Fair,548,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,27557,Unemployed,Fair,479,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,27908,Unemployed,Fair,456,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,28593,Unemployed,Fair,458,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,29034,Unemployed,Fair,535,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,29041,Unemployed,Fair,407,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,29514,Unemployed,Fair,539,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,30135,Self-Employed,Fair,484,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,31629,Self-Employed,Fair,461,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,34419,Self-Employed,Fair,641,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,35070,Self-Employed,Fair,475,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,36951,Self-Employed,Fair,507,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,37475,Self-Employed,Fair,614,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,37845,Self-Employed,Fair,634,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,38881,Self-Employed,Fair,581,Low,Low,No,Visa,20%,100,Low,Email,No
23,Male,Single,Rural,39508,Self-Employed,Fair,622,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,20971,Unemployed,Fair,354,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,21319,Unemployed,Fair,405,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,22572,Unemployed,Fair,323,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,23035,Unemployed,Fair,411,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,23173,Unemployed,Fair,495,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,23380,Unemployed,Fair,463,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,23435,Unemployed,Fair,526,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,23550,Unemployed,Fair,326,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,24137,Unemployed,Fair,451,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,27647,Unemployed,Fair,491,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,28463,Unemployed,Fair,402,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,28537,Unemployed,Fair,356,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,30422,Self-Employed,Fair,591,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,30626,Self-Employed,Fair,468,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,31055,Self-Employed,Fair,482,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,31865,Self-Employed,Fair,565,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,32087,Self-Employed,Fair,620,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,34063,Self-Employed,Fair,531,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,34497,Self-Employed,Fair,620,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,35302,Self-Employed,Fair,638,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,37228,Self-Employed,Fair,543,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Urban,37594,Self-Employed,Fair,552,Low,Low,No,Visa,20%,100,Low,Email,No
24,Male,Single,Rural,39741,Self-Employed,Fair,491,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,21339,Unemployed,Fair,366,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,22193,Unemployed,Fair,515,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,22691,Unemployed,Fair,443,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,26532,Unemployed,Fair,322,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,28350,Unemployed,Fair,435,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,28637,Unemployed,Fair,432,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,29684,Unemployed,Fair,450,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,29750,Unemployed,Fair,471,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,30167,Self-Employed,Fair,531,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,30900,Self-Employed,Fair,451,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,31491,Self-Employed,Fair,530,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,31819,Self-Employed,Fair,502,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,31860,Self-Employed,Fair,552,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,32353,Self-Employed,Fair,497,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,34291,Self-Employed,Fair,549,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,34862,Self-Employed,Fair,533,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,36836,Self-Employed,Fair,623,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,37019,Self-Employed,Fair,574,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,37549,Self-Employed,Fair,598,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Rural,39707,Self-Employed,Fair,481,Low,Low,No,Visa,20%,100,Low,Email,No
25,Male,Single,Urban,57655,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,53249,Employed,Good,727,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,51614,Employed,Good,746,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,57040,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,49606,Employed,Good,733,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,55233,Employed,Good,735,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,58526,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,47582,Employed,Good,738,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,46624,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,46780,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,48423,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,55688,Employed,Good,735,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,45728,Employed,Good,743,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,47217,Employed,Good,731,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,45645,Employed,Good,727,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,50658,Employed,Good,723,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,51564,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,48523,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,59638,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,58635,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,48915,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,51720,Employed,Good,736,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,56450,Employed,Good,730,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,52089,Employed,Good,749,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,47849,Employed,Good,723,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,56209,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,48291,Employed,Good,730,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,59642,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,57869,Employed,Good,748,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,49786,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,49638,Employed,Good,733,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,53398,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,48284,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,51088,Employed,Good,742,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,54547,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,52119,Employed,Good,728,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,59532,Employed,Good,733,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,54855,Employed,Good,727,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,48517,Employed,Good,729,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,57066,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,59326,Employed,Good,746,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,46717,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,46327,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,51953,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,58809,Employed,Good,733,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,59134,Employed,Good,736,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,56654,Employed,Good,734,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,53732,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,47347,Employed,Good,722,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,49338,Employed,Good,734,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,48871,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,49897,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,57711,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,58862,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,49747,Employed,Good,734,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,58804,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,50380,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,54163,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,53891,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,56849,Employed,Good,738,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,59369,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,50376,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,48120,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,58226,Employed,Good,728,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,57835,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,59150,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,50317,Employed,Good,747,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,50620,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,52667,Employed,Good,738,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,59898,Employed,Good,730,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,45301,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,56877,Employed,Good,729,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,58841,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,49126,Employed,Good,749,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,57768,Employed,Good,735,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,57902,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,55680,Employed,Good,747,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,46084,Employed,Good,731,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,45650,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,48843,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,49148,Employed,Good,723,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,48467,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,57189,Employed,Good,735,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,53341,Employed,Good,729,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,45555,Employed,Good,733,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,57169,Employed,Good,729,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,59223,Employed,Good,725,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,58533,Employed,Good,747,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,50980,Employed,Good,738,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,53020,Employed,Good,748,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,55343,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,57017,Employed,Good,726,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,50983,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,51293,Employed,Good,740,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,47884,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,51522,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,48306,Employed,Good,722,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,58526,Employed,Good,748,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,51356,Employed,Good,736,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,47850,Employed,Good,742,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,48014,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,53752,Employed,Good,736,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,47458,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,55155,Employed,Good,728,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,50610,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,57759,Employed,Good,730,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,46049,Employed,Good,729,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,48058,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,49039,Employed,Good,744,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,49680,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,51074,Employed,Good,723,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,55751,Employed,Good,722,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,51046,Employed,Good,727,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,46093,Employed,Good,735,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,46727,Employed,Good,724,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,51146,Employed,Good,726,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,57556,Employed,Good,750,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,49429,Employed,Good,732,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,58197,Employed,Good,738,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,57412,Employed,Good,721,Low,Medium,No,Visa,15%,50,High,Email,Yes
27,Male,Single,Urban,57711,Employed,Good,748,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,55152,Employed,Good,720,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,60034,Employed,Good,737,Low,Medium,No,Visa,15%,50,High,Email,Yes
28,Male,Single,Urban,55837,Employed,Good,736,Low,Medium,No,Visa,15%,50,High,Email,Yes
29,Male,Single,Urban,45817,Employed,Good,745,Low,Medium,No,Visa,15%,50,High,Email,Yes
25,Male,Single,Urban,54219,Employed,Good,749,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,56132,Employed,Good,722,Low,Medium,No,Visa,15%,50,High,Email,Yes
24,Male,Single,Urban,53340,Employed,Good,734,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,47970,Employed,Good,726,Low,Medium,No,Visa,15%,50,High,Email,Yes
26,Male,Single,Urban,59893,Employed,Good,741,Low,Medium,No,Visa,15%,50,High,Email,Yes
